"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"4047","Cabbage, leaf head, Chinese, steamed (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"96.9","10","41",NA,"0.9","0.3",NA,NA,NA,NA,"0.4","1.1","0.4","35","1.2","9","39","217","14","0.18",NA,NA,NA,"0","15",0.02,"0.04",0.3,NA,NA,"104","0",NA,NA,"11",NA,NA,NA
"4006","Cabbage, leaf head, red raw","1212.05","cabbage, red, fresh, raw","Fruits and Vegetables","vegetables, other and products","h","KE18","KEN93-80b, AU14-13A11784, ZA10-3897","91.1","26","110",NA,"1.3","0.2",NA,NA,NA,NA,"3.1","3.4","0.9","45","0.7","29","14","241","16","0.3",NA,NA,NA,"1","1",0.09,"0.13",0.5,NA,NA,"57","0",NA,NA,"69",NA,NA,NA
"4048","Cabbage, leaf head, red, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"90.9","27","113",NA,"1.3","0.2",NA,NA,NA,NA,"3.2","3.5","0.9","44","0.5","18","13","123","12","0.23",NA,NA,NA,"1","1",0.06,"0.09",0.3,NA,NA,"29","0",NA,NA,"28",NA,NA,NA
"4049","Cabbage, leaf head, red, stewed (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"91.7","24","102",NA,"1.2","0.2",NA,NA,NA,NA,"2.9","3.1","0.8","42","0.7","27","13","223","15","0.28",NA,NA,NA,"1","1",0.08,"0.11",0.4,NA,NA,"37","0",NA,NA,"38",NA,NA,NA
"4007","Cabbage, leaf head, white, raw","1212.03","cabbages, white, fresh, raw","Fruits and Vegetables","vegetables, other and products","h","KE18","SGS, KEN93-80d, AU14-13A11685, IN17-C015","93.8","18","76",NA,"1.1","0.1",NA,NA,NA,NA,"2.2","2.2","0.7","47","0.5","9","40","313","37","0.2",NA,NA,NA,"1","0",0.04,"0.04",0.4,NA,NA,"15","0",NA,NA,"50",NA,NA,NA
"4050","Cabbage, leaf head, white, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"93.6","19","78",NA,"1.1","0.1",NA,NA,NA,NA,"2.2","2.3","0.7","45","0.4","6","36","159","29","0.18",NA,NA,NA,"0","0",0.03,"0.03",0.3,NA,NA,"8","0",NA,NA,"20",NA,NA,NA
"4051","Cabbage, leaf head, white, stewed (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"93.3","20","82",NA,"1.2","0.1",NA,NA,NA,NA,"2.4","2.4","0.7","50","0.5","10","43","336","40","0.25",NA,NA,NA,"1","0",0.04,"0.04",0.4,NA,NA,"11","0",NA,NA,"32",NA,NA,NA
"4008","Capsicum (sweet peper), green, raw","1231.01","capsicum, green, raw","Fruits and Vegetables","vegetables, other and products","h","KE18","KEN93-103/103a, AU14-13A11686, IN17-D003","93.3","23","95",NA,"1.5","0.1",NA,NA,NA,NA,"2.9","2","0.2","8","0.5","10","17","151","2","0.18",NA,NA,NA,"0","27",0.03,"0.03",0.5,NA,NA,"8","0",NA,NA,"115",NA,NA,NA
"4052","Capsicum (sweet peper), green, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"92.3","26","109",NA,"1.7","0.1",NA,NA,NA,NA,"3.3","2.3","0.2","9","0.5","7","18","87","2","0.16",NA,NA,NA,"0","28",0.02,"0.02",0.4,NA,NA,"5","0",NA,NA,"86",NA,NA,NA
"4053","Capsicum (sweet peper), green, grilled (without salt and fat)",NA,NA,NA,NA,NA,"KE18",NA,"92.8","24","102",NA,"1.6","0.1",NA,NA,NA,NA,"3.1","2.2","0.2","9","0.6","11","18","162","2","0.19",NA,NA,NA,"0","26",0.03,"0.03",0.5,NA,NA,"6","0",NA,NA,"99",NA,NA,NA
